ID_Cliente;Ano;Mes;Consumo_kWh
1001;2024;03;78
1001;2024;08;136
1001;2024;10;106
1001;2024;05;108
1001;2025;02;286
1001;2025;05;213
1001;2025;03;128
1001;2025;11;327
1002;2024;12;104
1002;2024;06;350
1002;2024;10;303
1002;2024;08;230
1002;2025;08;260
1002;2025;09;327
1002;2025;02;86
1002;2025;12;270
1003;2024;02;228
1003;2024;12;218
1003;2024;04;126
1003;2024;05;321
1003;2025;01;278
1003;2025;08;247
1003;2025;02;122
1003;2025;07;348
1004;2024;05;190
1004;2024;12;340
1004;2024;04;81
1004;2024;07;118
1004;2025;05;105
1004;2025;01;103
1004;2025;09;349
1004;2025;08;111
1005;2024;02;100
1005;2024;10;155
1005;2024;12;147
1005;2024;03;128
1005;2025;07;305
1005;2025;08;211
1005;2025;11;100
1005;2025;10;150
1006;2024;08;76
1006;2024;09;330
1006;2024;02;118
1006;2024;01;93
1006;2025;08;160
1006;2025;09;285
1006;2025;11;294
1006;2025;02;327
1007;2024;05;134
1007;2024;11;122
1007;2024;07;303
1007;2024;04;136
1007;2025;02;272
1007;2025;08;162
1007;2025;05;317
1007;2025;07;77
1008;2024;06;116
1008;2024;09;256
1008;2024;10;185
1008;2024;11;309
1008;2025;03;126
1008;2025;04;242
1008;2025;11;78
1008;2025;06;278
1009;2024;07;80
1009;2024;01;103
1009;2024;09;315
1009;2024;10;135
1009;2025;02;95
1009;2025;08;132
1009;2025;06;299
1009;2025;07;343
1010;2024;03;169
1010;2024;07;279
1010;2024;11;183
1010;2024;01;127
1010;2025;10;222
1010;2025;12;74
1010;2025;02;339
1010;2025;07;194
1011;2024;08;333
1011;2024;02;89
1011;2024;12;346
1011;2024;10;122
1011;2025;05;267
1011;2025;04;92
1011;2025;08;304
1011;2025;03;281
1012;2024;01;187
1012;2024;08;288
1012;2024;11;202
1012;2024;03;333
1012;2025;04;232
1012;2025;05;235
1012;2025;02;77
1012;2025;10;111
1013;2024;05;266
1013;2024;04;178
1013;2024;01;311
1013;2024;12;310
1013;2025;06;240
1013;2025;08;105
1013;2025;02;111
1013;2025;04;338
1014;2024;10;82
1014;2024;02;302
1014;2024;04;290
1014;2024;06;217
1014;2025;02;95
1014;2025;07;214
1014;2025;11;119
1014;2025;03;60
1015;2024;02;308
1015;2024;06;258
1015;2024;09;284
1015;2024;08;270
1015;2025;09;289
1015;2025;10;324
1015;2025;07;200
1015;2025;11;198
1016;2024;07;148
1016;2024;03;349
1016;2024;01;202
1016;2024;06;77
1016;2025;11;129
1016;2025;09;91
1016;2025;02;106
1016;2025;06;80
1017;2024;05;254
1017;2024;07;282
1017;2024;09;257
1017;2024;06;273
1017;2025;01;68
1017;2025;04;155
1017;2025;09;178
1017;2025;11;193
1018;2024;06;201
1018;2024;05;301
1018;2024;02;153
1018;2024;11;60
1018;2025;08;109
1018;2025;01;316
1018;2025;02;170
1018;2025;05;350
1019;2024;03;118
1019;2024;07;99
1019;2024;09;153
1019;2024;01;309
1019;2025;01;237
1019;2025;04;324
1019;2025;02;316
1019;2025;03;117
1020;2024;02;179
1020;2024;04;317
1020;2024;03;261
1020;2024;12;171
1020;2025;07;148
1020;2025;10;341
1020;2025;11;219
1020;2025;12;76
1021;2024;12;110
1021;2024;09;177
1021;2024;11;251
1021;2024;07;235
1021;2025;10;197
1021;2025;05;247
1021;2025;01;350
1021;2025;11;146
1022;2024;03;181
1022;2024;11;196
1022;2024;10;243
1022;2024;12;123
1022;2025;06;131
1022;2025;09;192
1022;2025;11;198
1022;2025;02;234
1023;2024;05;228
1023;2024;02;131
1023;2024;09;273
1023;2024;07;221
1023;2025;03;187
1023;2025;09;74
1023;2025;12;329
1023;2025;02;67
1024;2024;08;323
1024;2024;11;187
1024;2024;06;232
1024;2024;12;250
1024;2025;09;157
1024;2025;12;286
1024;2025;04;253
1024;2025;05;106
1025;2024;10;242
1025;2024;06;95
1025;2024;11;102
1025;2024;12;126
1025;2025;12;283
1025;2025;04;332
1025;2025;01;108
1025;2025;10;103
1026;2024;04;314
1026;2024;11;297
1026;2024;08;322
1026;2024;02;338
1026;2025;04;129
1026;2025;09;214
1026;2025;03;65
1026;2025;07;241
1027;2024;02;287
1027;2024;08;217
1027;2024;10;75
1027;2024;07;227
1027;2025;05;291
1027;2025;09;182
1027;2025;03;126
1027;2025;11;159
1028;2024;02;224
1028;2024;10;211
1028;2024;05;115
1028;2024;09;236
1028;2025;02;100
1028;2025;01;150
1028;2025;08;174
1028;2025;07;306
1029;2024;06;106
1029;2024;11;113
1029;2024;09;144
1029;2024;04;288
1029;2025;06;238
1029;2025;08;272
1029;2025;01;170
1029;2025;05;90
1030;2024;09;280
1030;2024;06;218
1030;2024;10;99
1030;2024;01;217
1030;2025;01;203
1030;2025;07;309
1030;2025;09;342
1030;2025;10;85
1031;2024;05;252
1031;2024;07;109
1031;2024;09;68
1031;2024;11;243
1031;2025;01;272
1031;2025;12;184
1031;2025;06;176
1031;2025;10;140
1032;2024;10;167
1032;2024;05;145
1032;2024;09;159
1032;2024;04;84
1032;2025;10;86
1032;2025;04;154
1032;2025;08;295
1032;2025;12;90
1033;2024;09;81
1033;2024;12;81
1033;2024;07;190
1033;2024;03;307
1033;2025;09;335
1033;2025;05;260
1033;2025;03;116
1033;2025;06;137
1034;2024;04;296
1034;2024;09;114
1034;2024;08;122
1034;2024;07;120
1034;2025;03;235
1034;2025;01;163
1034;2025;10;208
1034;2025;12;342
1035;2024;02;211
1035;2024;03;200
1035;2024;05;167
1035;2024;12;277
1035;2025;05;145
1035;2025;10;340
