Ano;Mes;Preco_kWh
2023;01;0.136
2023;02;0.137
2023;03;0.138
2023;04;0.139
2023;05;0.14
2023;06;0.141
2023;07;0.142
2023;08;0.143
2023;09;0.144
2023;10;0.145
2023;11;0.146
2023;12;0.147
2024;01;0.146
2024;02;0.147
2024;03;0.148
2024;04;0.149
2024;05;0.15
2024;06;0.151
2024;07;0.152
2024;08;0.153
2024;09;0.154
2024;10;0.155
2024;11;0.156
2024;12;0.157
2025;01;0.166
2025;02;0.167
2025;03;0.168
2025;04;0.169
2025;05;0.17
2025;06;0.171
2025;07;0.172
2025;08;0.173
2025;09;0.174
2025;10;0.175
2025;11;0.176
2025;12;0.177
